filename	type	venueID	venueShortname	venue	year	publisher	address
doppa-anlg09.json	conference	anlg		NIPS Workshop on Analyzing Networks and Learning with Graphs	2009	ANLG	Vancouver, BC, USA
pujara-akbc14.json	conference	akbc	AKBC	NIPS Workshop on Automated Knowledge Base Construction	2014	AKBC	Montréal, QC, Canada
sridhar-akbc17.json	conference	akbc	AKBC	NIPS Workshop on Automated Knowledge Base Construction	2017	AKBC	Long Beach, CA, USA
pujara-biglearn12.json	conference	biglearn		NIPS Workshop on Big Learning: Algorithms, Systems, and Tools	2012	BigLearn	Lake Tahoe, NV, USA
pujara-ctfp10.json	conference	ctfp		NIPS Workshop on Coarse-to-Fine Processing	2010	CTFP	Vancouver, BC, USA
ramesh-dde13.json	conference	dde		NIPS Workshop on Data Driven Education	2013	DDE	Lake Tahoe, NV, USA
bach-discml14.json	conference	discml	DISCML	NIPS Workshop on Discrete and Combinatorial Problems in Machine Learning	2014	DISCML	Montréal, QC, Canada
bach-fnamma13.json	conference	fnamma		NIPS Workshop on Frontiers of Network Analysis: Methods, Models, and Applications	2013	FNAMMA	Lake Tahoe, NV, USA
tomkins-lld17.json	conference	lld	LLD	Learning from Limited Labeled Data Workshop	2017	LLD	Long Beach, CA, USA
fakhraei-mlcb13.json	conference	mlcb		NIPS Workshop on Machine Learning in Computational Biology	2013	MLCB	Lake Tahoe, NV, USA
sharara-nadta10.json	conference	nadta		NIPS Workshop on Networks Across Disciplines: Theory and Applications	2010	NADTA	Vancouver, BC, USA
zheleva-nadta10.json	conference	nadta		NIPS Workshop on Networks Across Disciplines: Theory and Applications	2010	NADTA	Vancouver, BC, USA
ramesh-nsis15.json	conference	nsis		NIPS Workshop on Networks in Social and Information Sciences	2015	NSIS	Montréal, QC, Canada
ramesh-peml12.json	conference	peml		NIPS Workshop on Personalizing Education With Machine Learning	2012	PEML	Lake Tahoe, NV, USA
london-pos13.json	conference	pos		NIPS Workshop on Perturbation, Optimization, and Statistics	2013	POS	Lake Tahoe, NV, USA
bach-pmpm10.json	conference	pmpm		NIPS Workshop on Predictive Models in Personalized Medicine	2010	PMPM	Vancouver, BC, USA
kimmig-ppfa12.json	conference	ppfa		NIPS Workshop on Probabilistic Programming: Foundations and Applications	2012	PPFA	Lake Tahoe, NV, USA
huang-snsmamma12.json	conference	snsmamma		NIPS Workshop on Social Network and Social Media Analysis: Methods, Models and Applications	2012	SNSMAMMA	Lake Tahoe, NV, USA
london-sl12.json	conference	sl		NIPS Workshop on Spectral Learning	2012	SL	Lake Tahoe, NV, USA
islamaj-nar07.json	article	nar		Nucleic Acids Research	2007	Oxford	
islamaj-fsdm06.json	conference	fsdm	FSDM	Workshop on Feature Selection for Data Mining	2006	SIAM	Bethesda, MD, USA
tomkins-recsys18.json	conference	recsys	RecSys	ACM Conference on Recommender Systems	2018	ACM	Vancouver, BC, Canada
farnadi-fetrec18.json	conference	fetrec	FATREC	RecSys Workshop on Responsible Recommendation	2018	FATREC	Vancouver, BC, Canada
getoor-inbook01.json	inbook	inbook		Relational Data Mining	2001	Springer-Verlag	
polymeropoulos-sr09.json	article	sr		Schizophrenia Research	2009	Elsevier	
sen-lacs06.json	conference	lacs		SDM Workshop on Link Analysis, Counterterrorism and Security	2006	SIAM	Bethesda, MD, USA
bhattacharya-sdm06.json	conference	sdm	SDM	SIAM International Conference on Data Mining	2006	SIAM	Bethesda, MD, USA
diehl-sdm06.json	conference	sdm	SDM	SIAM International Conference on Data Mining	2006	SIAM	Bethesda, MD, USA
saha-sdm09.json	conference	sdm	SDM	SIAM International Conference on Data Mining	2009	SIAM	Sparks, NV, USA
sayyadi-sdm09.json	conference	sdm	SDM	SIAM International Conference on Data Mining	2009	SIAM	Sparks, NV, USA
rekatsinas-sdm15.json	conference	sdm	SDM	SIAM International Conference on Data Mining	2015	SIAM	Vancouver, BC, Canada
getoor-kddexp03.json	article	kddexp		SIGKDD Explorations	2003	ACM	
getoor-kddexp05.json	article	kddexp		SIGKDD Explorations	2005	ACM	
kang-kddexp07.json	article	kddexp		SIGKDD Explorations	2007	ACM	
bhattacharya-dmkd04.json	conference	dmkd	DMKD	SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery	2004	ACM	Paris, France
zheleva-inbook11.json	inbook	inbook		Social Network Data Analytics	2011	Springer-Verlag	
getoor-phd01.json	phdthesis	phd		Stanford	2001	Stanford	Stanford, CA, USA
rekatsinas-sadm15.json	article	sadm		Statistical Analysis and Data Mining	2015	Wiley	
desjardins-sara00.json	conference	sara	SARA	International Symposium on Abstraction, Reformulation, and Approximation	2000	Springer-Verlag	Horseshoe Bay, TX, USA
zheleva-book12.json	book	book		Synthesis Lectures on Data Mining and Knowledge Discovery	2012	Morgan & Claypool	
namata-inbook09.json	inbook	inbook		Text Mining: Classification, Clustering, and Applications	2009	CRC Press	
kouki-recsys15.json	conference	recsys	RecSys	ACM Conference on Recommender Systems	2015	ACM	Vienna, Austria
kouki-recsys17.json	conference	recsys	RecSys	ACM Conference on Recommender Systems	2017	ACM	Como, Italy
broecheler-uai10.json	conference	uai	UAI	Conference on Uncertainty in Artificial Intelligence	2010	AUAI	Catalina Island, CA, USA
sharara-sunbelt10.json	conference	sunbelt		International Sunbelt Social Network Conference	2010	INSNA	Riva del Garda, Italy
sen-vldbj09.json	article	vldbj		The VLDB Journal	2009	VLDB	
zhang-www18.json	conference	www	WWW	The Web Conference	2018	ACM	Lyon, France
sridhar-causation16.json	conference	causation		UAI Workshop on Causation	2016	CAUSATION	New York, NY, USA
huang-starai12.json	conference	starai	StarAI	International Workshop on Statistical Relational AI	2012	StarAI	Catalina Island, CA, USA
pujara-starai15.json	conference	starai	StarAI	International Workshop on Statistical Relational AI	2015	arXiv	Amsterdam, The Netherlands
chajewska-uai98.json	conference	uai	UAI	Conference on Uncertainty in Artificial Intelligence	1998	Elsevier	Madison, WI, USA
sen-uai09.json	conference	uai	UAI	Conference on Uncertainty in Artificial Intelligence	2009	AUAI	Montréal, QC, Canada
bach-uai13.json	conference	uai	UAI	Conference on Uncertainty in Artificial Intelligence	2013	AUAI	Bellvue, WA, USA
pujara-uai15.json	conference	uai	UAI	Conference on Uncertainty in Artificial Intelligence	2015	AUAI	Amsterdam, The Netherlands
augustine-uai18.json	tutorial	uai	UAI	Conference on Uncertainty in Artificial Intelligence	2018	AUAI	Monterey, CA, USA
kouki-phd18.json	phdthesis	phd		University of California, Santa Cruz	2018	UCSC	Santa Cruz, CA, USA
london-phd15.json	phdthesis	phd		University of Maryland, College Park	2015	UMD	College Park, MD, USA
bhattacharya-phd06.json	phdthesis	phd		University of Maryland, College Park	2006	UMD	College Park, MD, USA
sen-techreport07.json	techreport	techreport		University of Maryland, College Park	2007	UMD	College Park, MD, USA
elsayed-techreport08.json	techreport	techreport		University of Maryland, College Park	2008	UMD	College Park, MD, USA
sen-phd09.json	phdthesis	phd		University of Maryland, College Park	2009	UMD	College Park, MD, USA
bilgic-phd10.json	phdthesis	phd		University of Maryland, College Park	2010	UMD	College Park, MD, USA
zheleva-phd11.json	phdthesis	phd		University of Maryland, College Park	2011	UMD	College Park, MD, USA
namata-phd12.json	phdthesis	phd		University of Maryland, College Park	2012	UMD	College Park, MD, USA
bach-phd15.json	phdthesis	phd		University of Maryland, College Park	2015	UMD	College Park, MD, USA
rekatsinas-phd15.json	phdthesis	phd		University of Maryland, College Park	2015	UMD	College Park, MD, USA
pujara-phd16.json	phdthesis	phd		University of Maryland, College Park	2016	UMD	College Park, MD, USA
ramesh-phd16.json	phdthesis	phd		University of Maryland, College Park	2016	UMD	College Park, MD, USA
kang-vast07.json	conference	vast	VAST	IEEE Conference on Visual Analytics Science and Technology	2007	IEEE	Sacramento, CA, USA
mihalkova-umwa11.json	conference	umwa	UMWA	WSDM Workshop on User Modeling for Web Applications	2011	UMWA	Hong Kong
embar-kbcom18.json	conference	kbcom	KBCOM	WSDM Workshop on Workshop on Knowledge Base Construction, Reasoning and Mining	2018	KBCOM	Stanford, CA, USA
